id;nome;responsavel;whatsapp;endereco
f1;Ambev Distribuidora;Marcos;(11) 4444-5555;Rua do Comércio, 10
f2;Coca-Cola FEMSA;Cláudio;(11) 3333-2222;Estrada Velha, 500
f3;Frigorífico Swift;Roberto;(11) 2222-1111;Av. Industrial, 1000
f4;Padaria Central;Dona Maria;(11) 1111-0000;Rua da Padaria, 50
f5;Hortifruti do Vale;José;(11) 9999-8888;Mercado Municipal, Box 12
f6;Distribuidora Real;Sérgio;(11) 8888-7777;Rua do Atacado, 200
f7;Queijaria Minas;Aline;(11) 7777-6666;Rua do Queijo, 30
f8;Gráfica Rápida;Paulo;(11) 6666-5555;Av. das Artes, 400
f9;Limpeza Total;Carla;(11) 5555-4444;Rua da Higiene, 15
f10;Gás 24h;Luiz;(11) 4444-3333;Rua do Gás, 100
f11;Atacadão S.A.;Gerente;(11) 3333-2222;Rodovia Anhanguera, km 15
f12;Makro Atacadista;Vendas;(11) 2222-1111;Marginal Tietê, 5000
f13;Vinícola Aurora;Sommelier;(11) 1111-0000;Rua das Vinhas, 80
f14;Peixaria Mar;Peixeiro;(11) 9999-8888;Porto de Santos, Cais 4
f15;Embalagens Pro;Vagner;(11) 8888-7777;Rua do Papel, 120
